項番,基準,分類,重要度,ID,タイトル,関連,解説／対策,新規本番,新規開発,既存本番,既存開発
1,AWS,IAM,重要,IAM.4,IAM ルートユーザーアクセスキーは存在してはなりません,"IAM.4
CIS.1.12","【①：リスク】
・ルートユーザのアクセスキーが漏洩することにより、攻撃者によりAWS環境の全ての操作が可能になる。
【②：対策】
・ルートユーザのアクセスキーを削除する。
（実施時のTIP）
・マネジメントコンソールを使用する等のアクセスキーが不要な運用に変更する。
・ルートユーザより権限が弱いユーザのアクセスキーを使用して運用する。
【③：②を行わない場合のリスク軽減策】
・無し。",強く推奨,強く推奨,強く推奨,強く推奨
2,AWS,RDS,重要,RDS.2,RDS DB インスタンスはパブリックアクセスを禁止する必要があります。PubliclyAccessible 設定によって決まります。,,"【①：リスク】
・Amazon RDSインスタンスにアタッチされたパブリックIPアドレスがインターネット上から攻撃され、RDS内の情報が漏洩する。
【②：対策】
・Amazon RDSインスタンスのパブリックアクセスをなしに設定する。
（実施時のTIP）
・上記対応を実施しても、下記の手段で対応しやすくなる
・このような手段にて、利便性を損なわずプライベートIPのRDS、proxy内のマシンから接続可能である。
https://dev.classmethod.jp/articles/pc-to-rds/
・踏み台サーバーのSSHポート転送を利用する
https://dev.classmethod.jp/articles/rdp-via-bastion-server/
【③：②を行わない場合のリスク軽減策】
・セキュリティグループ等で接続元IPを制限する。",強く推奨,強く推奨,推奨,推奨
3,AWS,EC2,高,EC2.8,EC2 インスタンスでは、Instance Metadata Service Version 2 (IMDSv2) を使用する必要があります,,"【①：リスク】
・インスタンスメタデータが不正に取得され、インスタンスメタデータ内に含むクレデンシャルから他のAWSリソースが操作される。
【②：対策】
・IMDSv1を無効化する。
・IMDSv1とIMDSv2の両方を無効化する。
（実施時のTIP）
・インスタンスメタデータ取得SDKが古い場合は最新化する。
・IMDSv2に対応している仮想マシンに変更する。
【③：②を行わない場合のリスク軽減策】
・無し。",強く推奨,強く推奨,推奨,推奨
4,AWS,S3,高,S3.8,S3 Block Public Access setting should be enabled at the bucket-level,,"【①：リスク】
・S3バケットのブロックパブリックアクセス設定がオフになっているかつACL・バケットポリシーで正しくアクセス制限が行われていない場合にインターネット上からS3バケット内のデータを参照できてしまう。なお、本設定をオンにして、各AWSサービスからS3のデータを参照することは可能。
【②：対策】
・パブリックアクセスブロックをオンに設定する。
（実施時のTIP）
・Amazon CloudFront（オリジンアクセスアイデンティティ (OAI) ）を介してS3バケットにアクセスするように変更する。
https://docs.aws.amazon.com/ja_jp/AmazonCloudFront/latest/DeveloperGuide/private-content-restricting-access-to-s3.html
【③：②を行わない場合のリスク軽減策】
・無し。",強く推奨,強く推奨,強く推奨,強く推奨
5,AWS,EC2,高,EC2.18,Security groups should only allow unrestricted incoming traffic for authorized ports,"EC2.18
CIS.4.1
CIS.4.2","【①：リスク】
・80,443番以外のポートに対してインターネットからのアクセスを許可することで攻撃される。
【②：対策】
・下記のいずれかを実施する。
　・許可するポートを80,443番に限定する。
　・80,443以外のポートを許可するSourceIPアドレスを限定する（0.0.0.0/0としない）。
（実施時のTIP）
・SG（セキュリティグループ）のIPアドレス設定を簡易化するツールを提供可能。
【③：②を行わない場合のリスク軽減策】
・無し。",強く推奨,強く推奨,強く推奨,強く推奨
6,AWS,EC2,高,EC2.9,EC2 instances should not have a public IPv4 address,,"【①：リスク】
・Amazon EC2インスタンスにアタッチされたパブリックIPアドレスがインターネット上から攻撃される。
【②：対策】
・Amazon EC2インスタンスにパブリックIPアドレス割り当てない構成にする。
・サブネットの設定でEC2インスタンスにパブリックIPアドレスが付与されないように設定する。
（実施時のTIP）
・保守作業用の踏み台サーバとしてパブリックIPアドレスを割り当てている場合は、AWS Systems Managerのセッションマネージャーの代替を検討する。
（RDPが必要な場合）
・https://business.ntt-east.co.jp/content/cloudsolution/column-try-27.html
【③：②を行わない場合のリスク軽減策】
・SG（セキュリティグループ）等で接続元IPを制限する。",強く推奨,強く推奨,推奨,推奨
7,AWS,EC2,高,EC2.2,VPC のデフォルトのセキュリティグループはインバウンドトラフィックとアウトバウンドトラフィックを許可しない必要があります,"EC2.2
CIS.4.3","【①：リスク】
・VPCのデフォルトセキュリティグループを使用することで、想定よりも広い範囲のIPアドレスやポート番号に対してアクセスができてしまう場合に攻撃される可能性がある。
【②：対策】
・VPCのデフォルトセキュリティグループの全ての通信許可設定を削除する。
・VPCのデフォルトセキュリティグループが割り当てされているリソースは、別のセキュリティグループに変更する。
【③：②を行わない場合のリスク軽減策】
・VPCのデフォルトセキュリティグループの通信設定が適切であることを再確認する。",強く推奨,強く推奨,任意,任意
8,AWS,RDS,高,RDS.13,RDS automatic minor version upgrades should be enabled,,"【①：リスク】
・古いバージョンのRDSを使用することで、脆弱性と攻撃され、RDS内の情報が漏洩する可能性がある。
【②：対策】
・「マイナーバージョン自動アップグレードの有効化」をオンにする。
【③：②を行わない場合のリスク軽減策】
・マイナーバージョンをアップグレードしないことによる脆弱性情報を収集し、自システムにおけるセキュリティリスク評価を行う。",任意,任意,任意,任意
9,AWS,ECS,高,ECS.2,ECS services should not have public IP addresses assigned to them automatically,"ECS.2
EMR.1","【①：リスク】
・Amazon ECS サービスにアタッチされたパブリックIPアドレスがインターネット上から攻撃される。
【②：対策】
・Amazon ECS サービスにパブリックIPアドレスを割り当てない構成にする。
（実施時のTIP）
・コンテナ内に入る必要がある場合はECSExecにてログインが可能である。
・ECSExec自体はCloudShellから利用することが可能である。
【③：②を行わない場合のリスク軽減策】
・SG（セキュリティグループ）等で接続元IPを制限する。",強く推奨,強く推奨,推奨,推奨
10,AWS,CloudTrail,高,CloudTrail.1,CloudTrail を有効にして、少なくとも 1 つのマルチリージョントレイルで設定する必要があります,"CloudTrail.1
CIS.2.1","【①：リスク】
・セキュリティインシデント発生時にAWS上のイベントが取得できていないために、原因や影響範囲等が調査できない可能性がある。
【②：対策】
・マルチリージョンの証跡をオンにする。
【③：②を行わない場合のリスク軽減策】
・無し。",強く推奨,強く推奨,強く推奨,強く推奨
11,AWS,IAM,高,IAM.1,IAM ポリシーは完全な「*」管理権限を許可してはなりません,"IAM.1
CIS.1.22","【①：リスク】
・非必要な権限を付与するIAMポリシーがユーザにアタッチされることで、アカウントの乗っ取りによる攻撃や正規ユーザに不正な操作を行われる可能性がある。なお、本警告はIMAポリシーがIAMにアタッチされているどうかに関わらず検出される。
【②：対策】
・IAM ポリシーの操作（Action）やリソース（Resource）を必要最小限の範囲に変更する。「*」を指定しない。
・操作（Action）やリソース（Resource）共に「*」とを指定したい場合はマネージドポリシーの「AdministratorAccess」を設定する。
【③：②を行わない場合のリスク軽減策】
・無し。",強く推奨,強く推奨,強く推奨,強く推奨
12,AWS,GuardDuty,高,GuardDuty.1,GuardDuty を有効にする必要があります,,"【①：リスク】
・セキュリティインシデント発生の検知が遅れる可能性がある。
【②：対策】
・GuardDutyを有効にする。
【③：②を行わない場合のリスク軽減策】
・無し。",強く推奨,強く推奨,強く推奨,強く推奨
13,AWS,S3,高,S3.6,S3 バケットポリシーで他の AWS アカウントに付与される S3 アクセス許可は制限する必要があります,,"【①：リスク】
・他アカウントからS3バケットのデータを不正に追加・変更・削除される可能性がある。
【②：対策】
・S3バケットポリシーに設定されている他アカウントからの追加・変更・削除許可を削除する。
（実施時のTIP）
・「s3:GetObject」等の読み取り権限のみで要件を満たせないか確認する。
【③：②を行わない場合のリスク軽減策】
・他アカウントからアクセスできるバケット内のデータを限定する。
・他アカウントが実施できるActionを限定する。",推奨,推奨,推奨,推奨
14,AWS,EC2,中,EC2.3,アタッチされた EBS ボリュームは、保管時に暗号化する必要があります,,"【①：リスク】
・AWSデータセンター内のストレージが盗難にあった場合に、情報漏洩のリスクが高まる。
【②：対策】
・EBSボリューム作成時に暗号化設定をして作成する。
・暗号化されていない既存のボリュームまたはスナップショットを直接暗号化する方法はないが、ボリュームまたはスナップショットを作成時に暗号化できる。
・リージョン単位でEBSボリュームを自動有効化する設定がある。
（参考）
・https://docs.aws.amazon.com/ja_jp/AWSEC2/latest/UserGuide/EBSEncryption.html
【③：②を行わない場合のリスク軽減策】
・無し。",強く推奨,強く推奨,推奨,推奨
15,AWS,S3,中,S3.5,S3 バケットでは Secure Socket Layer を使用するためのリクエストを求める必要があります,,"【①：リスク】
・S3バケットアクセス時の通信を暗号化しないことにより、通信内容を盗聴された際に情報漏洩のリスクが高まる。
【②：対策】
・S3 バケットポリシーで非暗号化通信を拒否する設定を行う。
（参考）
・https://aws.amazon.com/jp/premiumsupport/knowledge-center/s3-bucket-policy-for-config-rule/
【③：②を行わない場合のリスク軽減策】
・無し。",強く推奨,強く推奨,推奨,推奨
16,AWS,S3,中,S3.4,S3 バケットでは、サーバー側の暗号化を有効にする必要があります,,"【①：リスク】
・AWSデータセンター内のストレージが盗難にあった場合に、情報漏洩のリスクが高まる。
【②：対策】
・サーバー側の暗号化を使用したデータの保護を有効にする。またはS3 バケットポリシーでサーバー側の暗号化なしの put-object リクエストを明示的に拒否する。
　※但し、設定前に格納したオブジェクトは暗号化されていない。
（参考）
・https://docs.aws.amazon.com/ja_jp/AmazonS3/latest/userguide/serv-side-encryption.html
【③：②を行わない場合のリスク軽減策】
・無し。",強く推奨,強く推奨,強く推奨,強く推奨
17,AWS,RDS,中,RDS.4,RDS クラスタースナップショットとデータベーススナップショットは保管時に暗号化する必要があります,,"【①：リスク】
・AWSデータセンター内のストレージが盗難にあった場合に、情報漏洩のリスクが高まる。
【②：対策】
・新しいスナップショット作成時に暗号化を有効にして作成する。非暗号化スナップショットは削除する。
　※但し、RDS本体が暗号化されていないとスナップショット暗号化できない。スナップショットを作成後に暗号化することも可能。
【③：②を行わない場合のリスク軽減策】
・無し。",強く推奨,強く推奨,推奨,推奨
18,AWS,SSM,中,SSM.1,EC2 インスタンスは、AWS Systems Manager で管理する必要があります,,"【①：リスク】
・Systems Managerを使用せず、インターネットからアクセス可能な踏み台サーバを構築することや、EC2で検出されたポリシー違反について報告または修正処理が行えないことにより、攻撃リスクが高まる。
【②：対策】
・EC2インスタンスをAWS Systems Managerで管理できるように設定する。
　・SSMエージェントがインストールされていること。デフォルトでインストールが多い。
　・AWS Systems Managerへのアクセス可能なロールを付与する。
【③：②を行わない場合のリスク軽減策】
・無し。",強く推奨,強く推奨,推奨,推奨
19,AWS,IAM,中,IAM.3,IAM ユーザーのアクセスキーは、90 日以内にローテーションする必要があります,"IAM.3
CIS.1.4","【①：リスク】
・アクセスキーが漏洩することにより、AWSリソースが自由に操作される。
【②：対策】
・アクセスキーを定期的に更新する。
【③：②を行わない場合のリスク軽減策】
・対象のアクセスキーで可能な操作を限定するように権限設定を行う。",推奨,推奨,推奨,推奨
20,AWS,IAM,中,IAM.8,使用されていない IAM ユーザー認証情報は削除する必要があります,"IAM.8
CIS.1.3","【①：リスク】
・90 日間使用されたことのないパスワードまたはアクティブなアクセスキーを用いた不正アクセスのリスクが高まる。
【②：対策】
・認証情報を削除または非アクティブ化する。
【③：②を行わない場合のリスク軽減策】
・無し。",推奨,推奨,推奨,推奨
21,AWS,EC2,中,EC2.4,停止した EC2 インスタンスは、指定した期間後に削除する必要があります,,"【①：リスク】
・無し。※起動しない限りセキュリティリスクは無い。なお、３０日停止しているインスタンスが対象。
【②：対策】
・不要であれば削除する。
【③：②を行わない場合のリスク軽減策】
・無し。",任意,任意,任意,任意
22,AWS,EC2,中,EC2.15,EC2 subnets should not automatically assign public IP addresses,,"【①：リスク】
・EC2作成時に意図しないパブリックIPアドレスが割り当てされることで、不正アクセスのリスクが高くなる。
【②：対策】
・サブネットの「パブリック IPv4 アドレスを自動割り当て」をオフ（いいえ）に設定する。
　※作成済みのEC2インスタンスには影響しない。
【③：②を行わない場合のリスク軽減策】
・無し。",推奨,推奨,推奨,推奨
23,AWS,ELB,中,ELB.6,Application Load Balancer deletion protection should be enabled,,"【①：リスク】
・無し。
【②：対策】
・Application Load Balancerの削除保護を有効にする。
【③：②を行わない場合のリスク軽減策】
・無し。",任意,任意,任意,任意
24,AWS,Lambda,中,Lambda.2,Lambda 関数は最新のランタイムを使用する必要があります,,"【①：リスク】
・サポートされない古いランタイムを使用することにより、ランタイムが持つ脆弱性を攻撃される可能性がある。
【②：対策】
・使用するランタイムの設定を新しいものに設定する。
【③：②を行わない場合のリスク軽減策】
・無し。",推奨,推奨,推奨,推奨
25,AWS,EC2,中,EC2.10,Amazon EC2 should be configured to use VPC endpoints,,"【①：リスク】
・EC2がVPCの外側にあるAWSリソースにアクセスする場合に、VPCエンドポイントを使用せず、パブリックIPアドレスを使用することで不正アクセスされるリスクが高まる。
【②：対策】
・VPCエンドポイントを作成する。
【③：②を行わない場合のリスク軽減策】
・無し。",任意,任意,任意,任意
26,AWS,EC2,中,EC2.6,VPC フローログ記録はすべての VPC で有効にする必要があります,"EC2.6
CIS.2.9","【①：リスク】
・VPC内の不正通信を記録しないことにより、フローログを用いたセキュリティインシデントの検知や事後調査ができなくなる。　
※なお、本機能を有効にしていなくてもGuradDutyのフローログに対する異常検知は行われる。
（参考）
・https://aws.amazon.com/jp/guardduty/faqs/
【②：対策】
・VPC フローログ記録を有効にする。
【③：②を行わない場合のリスク軽減策】
・無し。",推奨,推奨,推奨,推奨
27,AWS,ELB,中,ELB.4,Application load balancer should be configured to drop http headers,,"【①：リスク】
・RFCに準拠していない不正なHTTPヘッダーを含むリクエストを処理することで、HTTP Desync攻撃が発生する可能性がある。
（参考）
・https://docs.aws.amazon.com/ja_jp/elasticloadbalancing/latest/application/application-load-balancers.html
【②：対策】
・「無効なヘッダーフィールドを削除」を有効化する。
・上記と合わせて、RFC 7230に準拠するHTTPリクエストとなるようにアプリケーションを修正する。
【③：②を行わない場合のリスク軽減策】
・バックエンドの間の通信に HTTP/2 を利用したり、バックエンド接続の再利用を無効化する。
・不正なHTTPヘッダを含むリスクエストがセキュリティリスクとならないか評価する。",強く推奨,強く推奨,推奨,推奨
28,AWS,ELB,中,ELB.5,Application and Classic Load Balancers logging should be enabled,,"【①：リスク】
・ALBのアクセスログを記録しないことにより、アクセスログを用いたセキュリティインシデントの検知や事後調査ができなくなる。
【②：対策】
・ALBのアクセスログ取得を有効化する。※ログはS3に保存される。
【③：②を行わない場合のリスク軽減策】
・ALBのバックエンド側でログを取得する。※但しALBを通過した分のみとなる。",強く推奨,強く推奨,推奨,推奨
29,AWS,EC2,中,EC2.19,Security groups should not allow unrestricted access to ports with high risk,,"（EC2.18よりも緩い条件であるため省略）
3389 (RDP)、20, 21 (FTP)、22 (SSH)、23（telnet）、110 (POP3)、143 (IMAP)、3306 (MySQL)、8080 (http)、1433、1434 (MSSQL)、9200か9300 (OpenSearch)、5601（kibana）、25 (SMTP)、445 (CIFS)、135 (RPC)、4333 (ahsp)、5432 (postgresql)、5500 (fcp-addr-srvr1)",強く推奨,強く推奨,強く推奨,強く推奨
30,AWS,IAM,中,IAM.5,MFA は、コンソールパスワードを持つすべての IAM ユーザーに対して有効にする必要があります,"IAM.5
CIS.1.2","【①：リスク】
・ID、パスワードが漏洩したり、総当たり攻撃等により、不正にアカウントにログインされる可能性がある。
【②：対策】
・アカウントのMFAを有効にする。
【③：②を行わない場合のリスク軽減策】
・無し。",強く推奨,強く推奨,強く推奨,強く推奨
31,AWS,RDS,中,RDS.5,RDS DB インスタンスは複数のアベイラビリティーゾーンで設定する必要があります,,"【①：リスク】
・単一のアベイラビリティーゾーン（単一AZ）にDBクラスターを配置する場合、該当AZで障害が発生するとサービス停止やデータ消失等の問題が発生する可能性がある。
【②：対策】
・DB インスタンスのマルチAZ配置を有効に設定する。
【③：②を行わない場合のリスク軽減策】
・無し。",任意,任意,任意,任意
32,AWS,SNS,中,SNS.1,SNS topics should be encrypted at-rest using AWS KMS,,"【①：リスク】
・暗号化せずに保存することで、ストレージへの物理的なアクセスによりデータが抜き取られるリスク。
【②：対策】
・SNSトピックの保管時のデータ暗号化を有効化する。
（実施時のTIP）
・なし
【③：②を行わない場合のリスク軽減策】
・重要な情報はSNSトピックで配信しない。",強く推奨,強く推奨,強く推奨,強く推奨
33,AWS,APIGateway,中,APIGateway.2,API Gateway REST API stages should be configured to use SSL certificates for backend authentication,,"【①：リスク】
・API Gatewayからアクセスするバックエンドサービスが、正当ではない呼び出し元からアクセスされても検知できないリスク
【②：対策】
・API Gatewayのコンソールでクライアント証明書を作成し、ステージに適用する
https://docs.aws.amazon.com/ja_jp/apigateway/latest/developerguide/getting-started-client-side-ssl-authentication.html
（実施時のTIP）
・API Gatewayのステージを利用していないとこの項目は検出されない
【③：②を行わない場合のリスク軽減策】
・API Gatewayからアクセスするバックエンドサービスが外部からアクセスできないよう構成する",任意,任意,任意,任意
34,AWS,APIGateway,中,APIGateway.4,API Gateway should be associated with a WAF Web ACL,,"【①：リスク】
・ウェブの脆弱性を利用した攻撃によって可用性、セキュリティ侵害、リソースの過剰消費を被る可能性がある。
【②：対策】
・API GatewayステージにAWS WAF リージョンウェブ ACLを割り当てる。
【③：②を行わない場合のリスク軽減策】
・無し。",任意,任意,任意,任意
35,AWS,APIGateway,中,APIGateway.1,API Gateway REST and WebSocket API execution logging should be enabled,,"【①：リスク】
API Gateway RESTまたはWebSocket APIでログを記録しないことにより、API Gateway REST、WebSocket APIに関する不正アクセスの調査ができなくなる。
【②：対策】
・API Gatewa yRESTとWebSocketAPIロギングを有効にする。
【③：②を行わない場合のリスク軽減策】
・無し。",強く推奨,任意,強く推奨,任意
36,AWS,KMS,中,KMS.2,IAM プリンシパルには、すべての KMS キーで復号アクションを許可する IAM インラインポリシーがあってはなりません,,"【①：リスク】
IAM IDにすべてのKMSリソースに対する暗号化および復号化の権限を付与すると、ユーザーが不適切なKMSキーを使用する可能性がある。
【②：対策】
・IAMのインラインポリシーを編集して特定のKMSのリソースを指定する。
【③：②を行わない場合のリスク軽減策】
・無し。",強く推奨,推奨,強く推奨,推奨
